country1,country2,p_dist
Palestinian,Ireland,0.013047681145505492
Peloponnese,Ireland,0.01859177458031684
Russia,Ireland,0.009784773236623572
Sahara,Ireland,0.014497647669612536
Sardinia,Ireland,0.02809701033621409
SE_Laconia,Ireland,0.00813414543044522
Serbia,Ireland,0.02345283268673665
Sicily,Ireland,0.022371937400695076
South_Morocco,Ireland,0.008456993015326606
Tunisia,Ireland,0.021360343270953947
Tuscany,Ireland,0.030710361643935598
Yemenite,Ireland,0.012929873220668778
Algeria,Italy,0.011765489522830214
Basque,Italy,0.018906989606958864
Bedouin,Italy,0.00874482047574529
Cappadocia,Italy,0.2458213183933489
Chuvash,Italy,0.007616587061062087
Crete,Italy,0.016638946628634185
Denmark,Italy,0.014869233588031296
Dodecanese,Italy,0.015143743566553002
Druze,Italy,0.009106764439358164
Rumelia,Italy,0.01994571071515826
Egypt,Italy,0.009180252025869372
Finland,Italy,0.008860107631677057
France,Italy,0.022561880386403384
Hungary,Italy,0.029382706764954948
Ireland,Italy,0.011360055273806255
Italy,Italy,0.13481114413560852
Libya,Italy,0.011901064862645964
Macedonia,Italy,0.028703458351692118
Mozabite,Italy,0.024692139115625362
North_Morocco,Italy,0.004624198977151921
Palestinian,Italy,0.009534094306651076
Peloponnese,Italy,0.02160817164928938
Russia,Italy,0.00387164851825813
Sahara,Italy,0.009529102132385938
Sardinia,Italy,0.05217588535069805
SE_Laconia,Italy,0.002549052437515259
Serbia,Italy,0.032887408728047005
Sicily,Italy,0.03774415595012353
South_Morocco,Italy,0.004624198977151921
Tunisia,Italy,0.021329297501689666
Tuscany,Italy,0.14018799101760046
Yemenite,Italy,0.009322381907474519
Algeria,Libya,0.02930731659443853
Basque,Libya,0.01642750247620659
Bedouin,Libya,0.02609903476338863
Cappadocia,Libya,0.02528789792896202
Chuvash,Libya,0.011153926882845677
Crete,Libya,0.03933404454689716
Denmark,Libya,0.013467115231888045
Dodecanese,Libya,0.03188578047257466
Druze,Libya,0.023022894382143957
Rumelia,Libya,0.02456013246440728
Egypt,Libya,0.03954131481548411
Finland,Libya,0.01075646951251647
France,Libya,0.016786273497133453
Hungary,Libya,0.019432933233950914
Ireland,Libya,0.01217290095462301
Italy,Libya,0.02411929103085964
Libya,Libya,0.2732149817799574
Macedonia,Libya,0.026271411784932797
Mozabite,Libya,0.027655687614696427
North_Morocco,Libya,0.010824395142938292
Palestinian,Libya,0.026640734739502417
Peloponnese,Libya,0.035710940599334856
Russia,Libya,0.006416646429616395
Sahara,Libya,0.04471088628488658
Sardinia,Libya,0.025943728608867903
SE_Laconia,Libya,0.004416399827041073
Serbia,Libya,0.022721752283337275
Sicily,Libya,0.03515944011174926
South_Morocco,Libya,0.010824395142938292
Tunisia,Libya,0.03845621270070603
Tuscany,Libya,0.022543664583247396
Yemenite,Libya,0.02513389357792741
Algeria,Macedonia,0.012763443611217947
Basque,Macedonia,0.015368272011217416
Bedouin,Macedonia,0.01602705761957104
Cappadocia,Macedonia,0.0413299301838992
Chuvash,Macedonia,0.012100589790693905
Crete,Macedonia,0.03922384778936162
Denmark,Macedonia,0.016414839545480647
Dodecanese,Macedonia,0.03862214799032947
Druze,Macedonia,0.017494904661976694
Rumelia,Macedonia,0.08564253017133977
Egypt,Macedonia,0.01577932891732442
Finland,Macedonia,0.01198289223707844
France,Macedonia,0.017321247554907448
Hungary,Macedonia,0.045154739199381747
Ireland,Macedonia,0.011399520769891867
Italy,Macedonia,0.03840430003992461
Libya,Macedonia,0.017344042296102664
Macedonia,Macedonia,0.1803729559230698
Mozabite,Macedonia,0.01976019391499655
North_Morocco,Macedonia,0.0073655487979201
Palestinian,Macedonia,0.018281188143847965
Peloponnese,Macedonia,0.06118803645742127
Russia,Macedonia,0.005499243343979508
Sahara,Macedonia,0.01199708484677212
Sardinia,Macedonia,0.026827810664680075
SE_Laconia,Macedonia,0.003162976978578507
Serbia,Macedonia,0.09760711696649481
Sicily,Macedonia,0.0368316683336684
South_Morocco,Macedonia,0.0073655487979201
Tunisia,Macedonia,0.02096875568160693
Tuscany,Macedonia,0.03254122388043144
Yemenite,Macedonia,0.017857012878913534
Algeria,Mozabite,0.03599588718698696
Basque,Mozabite,0.03191328987998043
Bedouin,Mozabite,0.012760821403242915
Cappadocia,Mozabite,0.0417074083296803
Chuvash,Mozabite,0.009680102494681276
Crete,Mozabite,0.021497365717417383
Denmark,Mozabite,0.016880633028294196
Dodecanese,Mozabite,0.018832688796985957
Druze,Mozabite,0.012663462610088376
Rumelia,Mozabite,0.020038317977486647
Egypt,Mozabite,0.014459524644733265
Finland,Mozabite,0.011087314519687507
France,Mozabite,0.03134483191433926
Hungary,Mozabite,0.0222997394706692
Ireland,Mozabite,0.017181647731227736
Italy,Mozabite,0.041038069428003476
Libya,Mozabite,0.022679524873463783
Macedonia,Mozabite,0.024545607257775475
Mozabite,Mozabite,0.22405467046817143
North_Morocco,Mozabite,0.006937507500288602
Palestinian,Mozabite,0.013504091002953467
Peloponnese,Mozabite,0.02481275557502816
Russia,Mozabite,0.005572514301860875
Sahara,Mozabite,0.02193128701543031
Sardinia,Mozabite,0.07744160402557755
SE_Laconia,Mozabite,0.004301864427471218
Serbia,Mozabite,0.02419840315414968
Sicily,Mozabite,0.04878324326960486
South_Morocco,Mozabite,0.006937507500288602
Tunisia,Mozabite,0.08050701294022596
Tuscany,Mozabite,0.04128052334547216
Yemenite,Mozabite,0.013130778208733028
Algeria,North_Morocco,0.009133179853016744
Basque,North_Morocco,0.008671613758299177
Bedouin,North_Morocco,0.020929668753602592
Cappadocia,North_Morocco,0.010921857462195777
